,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
641,Atala,"3h, k, s",rt,80.0,172500,2156,1993,1/1,ei,tyyd.,oma,B2018
642,Hyhky,3h+kt+kh,kt,58.0,191000,3293,2015,1/2,ei,hyvä,oma,C2013
643,Hervantajärvi,3h + kt,kt,62.0,218000,3516,2021,4/5,on,hyvä,vuokra,B2018
644,Linnainmaa,"3h,k,s",kt,81.0,120000,1481,1995,3/6,on,tyyd.,vuokra,D2018
645,Amuri,3h+k+rk+kh,kt,64.0,213766,3340,1937,3/6,on,hyvä,oma,D2018
646,Hervanta,"3h, k, sauna, v...",kt,74.0,125000,1689,1979,4/5,on,hyvä,oma,D2018
647,Amuri,"3h, k, kph/wc, ...",kt,76.0,265000,3487,1968,4/7,on,,oma,F2013
648,Hervanta,3h+k+kh+p,kt,72.0,83000,1153,1982,1/6,on,tyyd.,oma,D2018
649,Lentävänniemi,Putkiremontoitu...,kt,72.5,105000,1448,1973,2/3,ei,tyyd.,oma,F2018
650,Härmälä,"3h, k, kph, s, ...",kt,65.0,232500,3577,2012,5/5,on,,oma,D2013
651,Tammela,3h+k+ph+vh+lasi...,kt,69.0,215000,3116,1971,1/6,on,,oma,
652,Tahmela,3h+k+s,rt,82.0,246000,3000,1980,2/2,ei,tyyd.,oma,
653,Hervanta,3h+k+s,kt,74.5,140000,1879,1985,3/6,on,hyvä,oma,B2018
654,Atala,3h+k+s,rt,80.0,172000,2150,1989,1/1,ei,huono,oma,D2013
655,Keskusta,3h+kt+s+2parv,kt,76.0,335000,4408,2022,9/9,on,hyvä,vuokra,B2018
656,Niemenranta,3h+kt+p,kt,53.0,189000,3566,2018,2/6,on,hyvä,,C2013
657,Linnainmaa,3h+k+s,kt,72.0,140000,1944,1980,1/3,ei,hyvä,oma,E2013
658,Järvensivu,3h + k + vh + k...,kt,67.0,235000,3507,2007,3/5,on,,vuokra,D2018
659,Keskusta,"3h,k,s,p",kt,78.0,275000,3526,1972,2/5,on,,oma,E2013
660,Tammela,"3h, k, kph, wc,...",kt,73.5,229164,3118,1980,1/6,on,hyvä,oma,F2013
661,Kaukajärvi,3h + k + vh + l...,kt,75.0,142000,1893,1966,1/3,ei,hyvä,oma,E2013
662,Hervanta,"3h,k,s,vh,p",kt,75.0,205000,2733,2006,7/8,on,,vuokra,D2013
663,Atala,3h+k+et+wc+kph+...,rt,80.0,192300,2404,1985,1/1,ei,,oma,D2018
664,Hervanta,3h + k,kt,75.5,92500,1225,1979,1/6,on,hyvä,oma,G2013
665,Lamminpää,3h+k+s,rt,83.0,140000,1687,1984,1/1,ei,tyyd.,oma,C2018
666,Ryydynpohja,"3h, k, s, takka...",rt,84.0,198000,2357,1979,1/1,ei,hyvä,oma,D2018
667,Niemenranta,"3h, k, vh, wc, ...",kt,75.5,319000,4225,2022,1/7,on,hyvä,oma,B2018
668,Niemenranta,3h+k+kph+s+lasi...,kt,70.0,210000,3000,2014,3/6,on,hyvä,oma,B2018
669,Hervantajärvi,"3h, k, kph, s, ...",rt,71.0,262000,3690,2022,-1/2,ei,hyvä,vuokra,B2018
670,Linnainmaa,3h+k+kph/s+wc+p,kt,76.0,132000,1737,2002,1/3,on,,vuokra,
671,Kaipanen,3k+k +s+kph +1 ...,rt,75.0,240000,3200,2015,2/2,ei,hyvä,vuokra,C2013
672,Kaarila,"3h, k, kph, eri...",kt,79.0,152000,1924,1966,1/3,ei,hyvä,oma,E2018
673,Atala,"3h,k, s",rt,83.0,180000,2169,1992,1/2,ei,,oma,
674,Kaleva,"3h, k, kph",kt,62.0,225000,3629,1952,1/3,ei,hyvä,vuokra,
675,Lentävänniemi,3h+k+kph+lasite...,kt,76.0,145000,1908,1977,5/6,on,hyvä,oma,
