,Kaupunginosa,Huoneisto,TaloTyyppi,m2,Vh(€),Neliöhinta(€),Rakennusvuosi,Kerros,Hissi,Kunto,Tontti,Energialuokka
794,Hervanta,"3h, k, rt, wc, ...",rt,74.5,181000,2430,1989,1/1,ei,hyvä,vuokra,E2013
795,Villilä,"3h, k, kph, s, p.",kt,66.5,166000,2496,2014,3/5,on,hyvä,vuokra,B2018
796,Multisilta,"3h,k",kt,73.0,92000,1260,1972,,on,,vuokra,G2013
797,Pohtola,"3h,k,ph,lasit.p",kt,78.0,147500,1891,1972,2/3,ei,hyvä,oma,F2013
798,Villilä,"3h, k, kph / s,...",rt,80.0,245000,3063,2007,1/2,ei,hyvä,vuokra,C2018
799,Hallila,"3h,k,s",rt,80.0,254000,3175,1996,,ei,hyvä,vuokra,D2018
800,Hervanta,"3h, k, kph, s, ...",rt,81.5,196000,2405,1989,1/1,ei,hyvä,vuokra,C2018
801,Hervanta,3h+k+kph/wc+vh+...,kt,71.0,80000,1127,1978,1/8,on,,oma,F2013
802,Tammela,"3 h, k, kh, p",kt,72.5,160000,2207,1980,2/6,on,huono,oma,F2013
803,Lielahti,3h+k+kph+s+eril...,kt,76.0,306000,4026,2019,5/8,on,,oma,C2013
804,Ranta tampella,3h+k+s,kt,84.0,460200,5479,2024,7/14,on,hyvä,vuokra,B2018
805,Lintuhytti,"3h, k, 2 kph, s...",rt,78.0,242000,3103,2019,-1/2,ei,hyvä,vuokra,B2018
806,Hakametsä,"3h,k,kph,s,p,ak",rt,78.0,253000,3244,1986,1/2,ei,hyvä,oma,D2013
807,Lentävänniemi,"3h,kk,s, las.pa...",kt,65.0,213000,3277,2013,4/8,on,,vuokra,C2013
808,Härmälänranta,3h+k+s,kt,66.5,227500,3421,2017,4/5,on,hyvä,,C2013
809,Niemenranta,"3h, k, khh/kph,...",kt,79.5,290000,3648,2013,7/8,on,hyvä,oma,C2013
810,Viiala,"3h,avokeitti...",kt,72.0,180000,2500,2000,1/2,ei,hyvä,vuokra,F2013
811,Villilä,"3h, k, wc, ph + s",rt,80.0,261500,3269,1984,1/1,ei,hyvä,oma,D2013
812,Vehmainen,3h+k+wc+et+s+kp...,rt,92.0,320000,3478,2017,1/2,ei,hyvä,oma,C2013
813,Peltolammi,3h+k+s,kt,70.5,153000,2170,1990,1/2,ei,hyvä,vuokra,G2013
814,Hervanta,"3h,k,kph,vh,las...",kt,73.0,105000,1438,1977,2/8,on,,oma,C2018
815,Armonkallio,"3h,k,kph,p",kt,56.0,187000,3339,1968,2/5,on,tyyd.,oma,G2013
816,Hervanta,"3 h, kt, s, p",kt,64.5,190000,2946,2013,5/6,on,hyvä,vuokra,C2013
817,Vuores,3h+kt+s+p,kt,69.5,198900,2862,2013,3/5,on,hyvä,vuokra,C2018
818,Hervanta,3h+k+kph+s+eril...,kt,78.5,149000,1898,1990,3/5,on,tyyd.,oma,E2013
819,Koivistonkylä,"3h, kt, s",kt,65.0,240000,3692,2023,3/5,on,hyvä,vuokra,A2018
820,Lintuhytti,"3h, kt, rt, s, ...",rt,71.0,257000,3620,2017,1/1,ei,hyvä,vuokra,C2013
821,Härmälä,3h+k+kph+s+lasi...,kt,69.0,270000,3913,2020,1/2,ei,hyvä,vuokra,B2018
822,Hervanta,"3h, k, kph, s, ...",kt,74.5,153000,2054,1985,4/6,on,hyvä,oma,B2018
823,Onkiniemi,3h+k+vh+khh+s+p...,kt,75.0,270000,3600,1984,2/3,ei,tyyd.,oma,F2013
824,Hyhky,3h+k+et+kph+s+w...,kt,76.0,229000,3013,2006,2/2,ei,hyvä,oma,C2018
825,Keskusta,"3h,k,kph,erilli...",kt,76.0,399000,5250,1969,4/8,on,hyvä,oma,E2013
826,Linnainmaa,"3h, k, kph, wc",kt,81.0,157000,1938,1995,2/6,on,hyvä,vuokra,D2018
827,Kaakinmaa,3h+k+s,kt,87.0,336000,3862,2006,4/7,on,hyvä,vuokra,D2013
828,Huikas,3h+k+s+khh+vh+t...,rt,89.0,264000,2966,1991,1/2,ei,,oma,F2018
829,Vuores,"3h,k,s,kph,eril...",rt,90.0,358000,3978,2016,1/1,ei,hyvä,vuokra,C2013
830,Pappila,3h+k+s,kt,59.0,192000,3254,2001,1/2,ei,,vuokra,D2018
831,Kissanmaa,3h+k+kph+vh+ull...,rt,75.0,165000,2200,1955,2/2,ei,tyyd.,vuokra,D2018
832,Tammela,"3h, kt, s",kt,75.0,397969,5306,2023,7/12,on,hyvä,,B2018
833,Atala,3h+k+kph+s+vh+2...,rt,83.0,209000,2518,1992,2/2,ei,hyvä,oma,D2013
834,Tesoma,3h+k,kt,64.0,90000,1406,1967,2/7,on,hyvä,vuokra,D2018
835,Vehmainen,"3h, k, kph, eri...",rt,75.0,217000,2893,2003,1/1,ei,hyvä,vuokra,E2018
836,Pyynikki,3H+KT+2P (yhti&...,kt,76.0,430000,5658,2022,2/4,on,hyvä,oma,
837,Ratinanranta,3h+k+kph+s+wc+v...,kt,85.0,520000,6118,2012,5/8,on,hyvä,vuokra,C2018
838,Risso,3h+k+tk+et+kph+s,rt,87.0,268000,3080,2013,2/2,ei,hyvä,vuokra,
839,Tampella,"3h, k, s",kt,75.0,320000,4267,2000,7/8,on,,oma,F2013
840,Pyynikki,"3, k, s, p",kt,73.5,273000,3714,1989,1/7,on,tyyd.,oma,F2013
841,Tammela,3h+kt+s,kt,79.0,468800,5934,2023,7/7,on,hyvä,vuokra,B
842,Hämeenpuisto,"3h,k,ruokailuh,...",kt,83.0,270000,3253,1957,,on,,oma,G2013
843,Tammela,"3h, k, kph, s, ...",kt,76.5,455000,5948,1978,7/7,on,hyvä,oma,C2018
844,Hervanta,3h+k+kph+vaateh...,kt,75.5,170557,2259,1979,8/8,on,hyvä,oma,D2018
845,Lentävänniemi,"3h,kk,s",kt,60.0,180000,3000,2013,4/8,on,hyvä,vuokra,C2013
846,Pyynikki,"2-3h,k,ph,wc,p",kt,69.5,263000,3784,1941,3/6,on,hyvä,oma,F2013
847,Linnainmaa,"3h, k, kph / wc...",kt,70.0,172000,2457,1999,2/5,on,hyvä,vuokra,
848,Tammela,"3h, k, kph, et,...",kt,71.0,235000,3310,1973,3/7,on,hyvä,oma,D2018
849,Härmälä,"3h, k, kph/wc, p",kt,67.5,118000,1748,1967,1/3,ei,tyyd.,vuokra,D2018
850,Atala,"3h, k, s, psh, ...",rt,75.5,222000,2940,2005,-1/2,ei,hyvä,oma,D2013
851,Holvasti,3h+k+tk+et+2xvh...,rt,78.0,224000,2872,1996,1/1,ei,,vuokra,D2018
852,Holvasti,"3h, k, kph, kht...",rt,80.0,234000,2925,1994,1/1,ei,hyvä,oma,D2018
853,Korkinmäki,"3 h, k, s, ph, ...",rt,84.0,189000,2250,1996,2/2,ei,tyyd.,oma,C2018
854,Linnainmaa,3h+k+tk+vh+et+w...,rt,84.0,215000,2560,1982,1/1,ei,hyvä,oma,D2018
855,Kaarila,3h+k+s,rt,87.0,207000,2379,1982,2/2,ei,tyyd.,oma,C2018
856,Hallila,3h+k+et+kph+s+w...,rt,74.0,225000,3041,1993,1/1,ei,hyvä,vuokra,D2013
857,Amuri,3h+k,kt,78.0,238000,3051,1968,6/9,on,,oma,D2018
858,Hervanta,"3 h, kt, s, p",kt,63.0,190000,3016,2015,3/5,on,hyvä,vuokra,C2013
859,Olkahinen,3h+k+ph/s+erill...,rt,77.0,175000,2273,1990,-1/2,ei,hyvä,vuokra,
860,Kaukajärvi,"3h, k, kph, s, ...",kt,80.0,202000,2525,2005,3/6,on,hyvä,oma,D2013
861,Linnainmaa,3h+k+s,kt,60.0,195000,3250,2011,3/5,on,,oma,C2013
862,Haukiluoma,3h+k+kph+s+eril...,rt,79.0,165000,2089,1984,1/1,ei,,vuokra,E2013
863,Leinola,"3h,k,kph,2khh,s...",rt,84.0,208000,2476,1984,1/2,ei,hyvä,oma,E2013
864,Härmälä,"3 (4)h, k, ph+ s",kt,87.0,185000,2126,1937,1/2,ei,hyvä,vuokra,F2018
865,Kaleva,"3h, k",kt,80.5,235500,2925,1965,6/9,on,hyvä,vuokra,F2013
866,Lukonmäki,3h+k+takkah+s+k...,rt,85.0,185000,2176,1984,2/2,ei,hyvä,oma,D2018
867,Janka,3h+kk+s,kt,78.0,185000,2372,2004,4/4,on,hyvä,vuokra,F2013
868,Haukiluoma,"3h,k,kph,s,wc,v...",rt,82.0,172500,2104,1985,1/1,ei,hyvä,vuokra,
869,Ristimäki,"3h,k,s,kph/wc,e...",rt,85.0,216000,2541,1981,-1/2,ei,hyvä,vuokra,C2018
870,Rautaharkko,3h+k,kt,76.0,140000,1842,1973,1/2,ei,,vuokra,D2018
871,Lentävänniemi,3h+k+kph+2vh+la...,kt,73.0,126000,1726,1978,2/4,ei,,oma,
872,Vehmainen,"3h,k,wc,ph,s,2x...",rt,75.0,191000,2547,2003,1/1,ei,tyyd.,vuokra,E2018
873,Halkoniemi,3h+kt+s,kt,71.0,327000,4606,2019,1/2,ei,hyvä,vuokra,B2018
874,Annala,"3h,k,vh,kph,s,l...",kt,80.0,98000,1225,1985,2/3,ei,hyvä,oma,E2018
875,Kaleva,3h+k+s+vh+p,kt,74.5,294000,3946,2017,4/6,on,hyvä,vuokra,C2013
876,Villilä,"3h,k,s,kph,eril...",rt,79.0,310000,3924,2005,1/1,ei,hyvä,oma,D2007
877,Tammela,"3h, kt, p",kt,52.0,290000,5577,2024,5/8,on,,vuokra,B2018
878,Amuri,3h+k+s,kt,69.0,212000,3072,1988,2/7,on,,oma,
879,Peltolammi,"3h, k",kt,70.5,129000,1830,1971,7/7,on,hyvä,vuokra,F2013
880,Haapalinna,3h+k+s,kt,74.0,120000,1622,1983,1/3,on,tyyd.,oma,E2018
881,Saukonmäki,"3h, k, vh, las. p",kt,78.0,226000,2897,1967,1/7,on,,vuokra,D2018
882,Koivistonkylä,3h+k+s+th,rt,85.0,223500,2629,1984,1/2,ei,hyvä,oma,
883,Ranta-tampella,"3h, kt, kph/s, ...",kt,89.5,530000,5922,2019,3/9,on,hyvä,vuokra,C2013
884,Hallila,"3h, k, s, khh, wc",rt,82.0,238000,2902,1997,1/1,ei,,vuokra,D2013
885,Tasanne,3h+k+kph+s+eril...,rt,77.0,173000,2247,1983,1/1,ei,,oma,E2018
886,Hämeenpuisto,"3h, halli, k, k...",kt,85.4,311000,3642,1934,3/6,on,hyvä,oma,E2018
887,Lukonmäki,3h+k+kph+s+et+v...,kt,73.0,145000,1986,1991,2/3,ei,,oma,E2013
888,Rantaperkiö,"3h,k,kph,s,vh,w...",kt,75.5,250000,3311,2006,3/4,on,hyvä,vuokra,F2013
889,Ranta-tampella,"3h,kt,s",kt,109.0,827000,7587,2019,5/8,on,,oma,C2013
890,Tampella,3h+k+s,kt,78.0,312000,4000,1987,2/6,on,hyvä,oma,E2013
891,Koivistonkylä,"3h, kt, s",kt,65.0,260000,4000,2023,5/5,on,hyvä,vuokra,A2018
892,Hirvikallio,3-4 h+k+kph+s+w...,rt,84.0,309000,3679,2015,1/1,ei,hyvä,vuokra,C2013
893,Pohtola,3h + k + s + p,rt,89.0,270000,3034,1987,1/2,ei,,oma,C2018
894,Korkinmäki,3h+k+s,kt,66.5,188000,2827,1994,1/2,ei,,oma,F2013
895,Amuri,3h+k+kh+p+vh,kt,72.0,280000,3889,1955,4/6,on,,oma,G2013
896,Peltolammi,Maalämp...,kt,68.0,64500,949,1968,2/3,ei,tyyd.,vuokra,B2013
897,Atala,"2 mh, keitti...",rt,64.5,176000,2729,1990,1/1,ei,hyvä,oma,
898,Koivistonkylä,"3h, kt, s",kt,65.0,256000,3938,2023,4/5,on,hyvä,vuokra,A2018
899,Pyynikki,3h+k+kph+s+eril...,kt,72.0,260000,3611,1985,3/4,on,hyvä,oma,F2013
900,Hervanta,"3 h , k, s, p",kt,73.0,143000,1959,1989,4/6,on,hyvä,oma,F2013
901,Linnainmaa,3h+kt+s+kph+vh+...,kt,69.0,259401,3759,2015,5/5,on,hyvä,oma,C2013
902,Atala,"3h, k, s, parvi...",rt,74.5,237000,3181,2000,-1/2,ei,hyvä,oma,
903,Tasanne,"3h,k/rt,s,kph/k...",rt,86.5,186000,2150,1980,1/1,ei,hyvä,oma,D2018
904,Finninmäki,"3-4h, k, s, ph,...",rt,95.5,224000,2346,1978,1/1,ei,hyvä,oma,D
905,Muotiala,3h+ k+ et+vh+kp...,rt,83.0,278000,3349,2005,1/2,ei,hyvä,vuokra,D2013
906,Onkiniemi,"3h,k,s",kt,81.0,302000,3728,1983,3/5,on,,oma,D2018
907,Tasanne,3h+k+takkahuone+s,rt,86.0,250000,2907,1990,1/3,ei,,vuokra,D2018
908,Haukiluoma,"3h,k,kph,wc,vh,...",rt,82.0,170400,2078,1986,1/1,ei,hyvä,vuokra,
909,Lentävänniemi,"3h, k, kph/kht,...",rt,83.0,189000,2277,1980,1/1,ei,hyvä,oma,E2013
910,Atala,"3h,k,kph,wc,s,v...",rt,75.0,213000,2840,1992,1/1,ei,,oma,
911,Hervanta,"3 h, kt, s, p",kt,78.0,218900,2806,2013,4/5,on,hyvä,vuokra,C2013
912,Kalkku,"3 h, k, s, p",kt,80.0,119000,1488,1977,4/6,on,hyvä,oma,G2013
913,Rahola,"3h, k, vh, kh, ...",kt,74.0,175000,2365,2014,4/5,on,hyvä,vuokra,B2018
914,Lukonmäki,3h+k+s+kph+vh+e...,kt,75.5,147000,1947,1991,3/3,ei,hyvä,oma,F2018
915,Linnainmaa,"3h, k, s, las. p",kt,77.0,180000,2338,2002,2/4,on,,vuokra,E2018
916,Härmälänranta,"3h,k,s",kt,64.0,229000,3578,2011,5/5,on,hyvä,oma,C2013
917,Tammela,3h+k+et+s+kph+v...,kt,76.0,273000,3592,1984,4/6,on,hyvä,oma,D2018
918,Kaleva,3h+k+kph+p,kt,75.0,250000,3333,1951,2/3,ei,,vuokra,
919,Lentävänniemi,"3h,k,kph/wc,vh,...",kt,76.0,165000,2171,1977,2/6,on,,oma,C2013
920,Kaleva,3h+k+kph/wc+p,kt,72.0,218000,3028,1958,,on,,vuokra,G2013
921,Lukonmäki,"3h, k, s",rt,82.5,151000,1830,1978,1/2,ei,tyyd.,oma,D2007
922,Lentävänniemi,"3-4h, k, kph, e...",kt,101.0,178000,1762,1975,8/8,on,tyyd.,oma,
923,Annala,5h+k+kph+s+khh+...,rt,102.0,267000,2618,2003,1/2,ei,,vuokra,D2018
924,Kauppi,4h+k+s,kt,94.0,537000,5713,2020,2/6,on,,vuokra,B2018
925,Olkahinen,4h+k+kph/s+wc+2...,rt,101.0,207000,2050,1987,1/2,ei,,vuokra,
926,Härmälä,"3mh, oh, k, wc,...",ok,128.0,210000,1641,1929,1/3,ei,tyyd.,vuokra,E2018
927,Tesoma,4h+k,kt,79.0,110000,1392,1967,2/3,ei,hyvä,vuokra,C2018
928,Keskusta,"4h,k,kph, erill...",kt,82.0,385000,4695,1962,7/8,on,,oma,D2018
929,Vuores,"4-5h, kt, 2 x k...",rt,110.5,395000,3575,2023,-1/3,ei,hyvä,vuokra,B2018
930,Hervanta,"4h,k,s",rt,97.5,263000,2697,2006,2/2,ei,hyvä,vuokra,C2018
931,Leinola,4h + k + th + k...,ok,131.0,384000,2931,1994,1/1,ei,hyvä,vuokra,B2018
932,Holvasti,"6h,k,s",ok,144.0,300000,2083,1994,,ei,tyyd.,vuokra,D2018
933,Amuri,"4h,k,aula,kph/wc,p",kt,89.0,275000,3090,1952,6/6,on,hyvä,vuokra,F2013
934,Hervanta,"5h, k, kk, 2 x ...",kt,130.5,150000,1149,1979,2/5,on,tyyd.,oma,D2018
935,Koivistonkylä,"4h, k, s, ph/wc...",rt,98.5,230000,2335,1988,1/1,ei,hyvä,oma,D2018
936,Ranta-tampella,4h+k+wc+kph/s+v...,kt,88.0,535000,6080,2021,2/9,on,hyvä,oma,A2018
937,Hervanta,4h + k + s + kp...,kt,93.0,160000,1720,1986,4/5,on,hyvä,oma,D2018
938,Onkiniemi,"4 h, k, s, kph,...",kt,94.5,273000,2889,1982,1/3,ei,tyyd.,oma,D2018
939,Tesoma,"4h, k, kph/kodi...",kt,93.0,130000,1398,1966,3/3,ei,hyvä,vuokra,C2018
940,Leinola,4h+k,rt,97.0,389000,4010,2022,1/1,ei,hyvä,oma,
941,Keskusta,4h+k+vh+kph+s+e...,kt,96.0,345000,3594,1963,5/5,on,,oma,
942,Viiala,"4h, k, s, varas...",rt,82.0,335000,4085,2021,1/2,ei,,oma,A2018
943,Viinikka,"4h, k, kph, s, ...",rt,100.0,240000,2400,1937,-1/4,ei,tyyd.,vuokra,
944,Härmälä,"4 h, k, ph/wc +...",ok,93.0,96000,1032,1937,2/2,ei,huono,vuokra,
945,Niemenranta,"4h, k, kph, s, ...",rt,86.0,367900,4278,2017,1/1,ei,hyvä,vuokra,C2013
946,Kaleva,4h+k,kt,72.0,233000,3236,1957,1/2,ei,,vuokra,D2018
947,Annisto,"Oh, k, 3 mh, kh...",rt,105.0,400000,3810,2022,1/1,ei,hyvä,oma,A2018
948,Peltolammi,"5h, k, khh, kph...",rt,105.5,189000,1791,1990,-1/2,ei,tyyd.,vuokra,D2018
949,Risso,"6h, avok, sauna...",ok,218.5,548000,2508,2014,-1/1,ei,hyvä,vuokra,A2018
950,Ikuri,5h+k+s,rt,113.0,189000,1673,1989,1/1,ei,tyyd.,vuokra,
951,Viiala,4h+k+s+wc+kph+p...,kt,93.5,200000,2139,1988,2/3,ei,tyyd.,oma,D2018
952,Hirvikallio,"4h, k, kph, khh...",rt,114.5,300000,2620,2011,-1/2,ei,hyvä,vuokra,B2018
953,Annala,4h + k + kph/sa...,rt,98.0,172000,1755,1979,1/2,ei,,oma,
954,Linnainmaa,"4h, k, sauna/kp...",rt,98.0,217500,2219,1979,2/2,ei,hyvä,oma,
955,Leinola,4h+k+vh+khh+kph...,ok,128.0,392000,3063,1978,,ei,hyvä,oma,A2018
956,Vehmainen,"Oh, k, 3-4mh, p...",ok,140.0,230000,1643,1930,-1/3,ei,hyvä,oma,B2018
957,Leinola,"5h,k,kph,s,vara...",ok,230.0,325000,1413,1985,1/2,ei,,oma,E2018
958,Atala,"4h, k, kph, s, wc",rt,84.0,225000,2679,1984,2/2,ei,hyvä,oma,D2018
959,Annisto,"Oh, k, 3 mh, kh...",rt,105.0,400000,3810,2022,1/1,ei,hyvä,oma,A2018
960,Lentävänniemi,"4h, k, kph, eri...",kt,88.5,170000,1921,1976,1/6,on,hyvä,oma,D2018
961,Amuri,"3-4h, k, kph/s,...",kt,120.5,515000,4274,1972,9/9,on,hyvä,oma,G2013
962,Kaleva,"5h, k, kph, 2 x vh",kt,79.0,260000,3291,1958,2/4,on,hyvä,vuokra,E2018
963,Linnainmaa,"4h,k,khh,erilli...",rt,82.0,178000,2171,1988,1/1,ei,,vuokra,E2013
964,Keskusta,5h+k+s,kt,112.5,320000,2844,1981,4/6,on,hyvä,oma,F2013
965,Hatanpää,"4h, k, kph, s, ...",kt,99.5,325000,3266,2000,2/4,on,hyvä,vuokra,F2013
966,Kaleva,4h+k+kph/wc+p,kt,74.0,235000,3176,1959,2/3,ei,hyvä,vuokra,D2013
967,Tesoma,"4h, k, kph, wc,...",kt,76.0,100000,1316,1965,1/3,on,tyyd.,vuokra,F2013
968,Onkiniemi,"4h, k, s",kt,91.0,220000,2418,1985,,on,,oma,E2018
969,Leinola,4h+k+kph/s+khh+...,ok,105.0,255000,2429,1982,-1/1,ei,hyvä,vuokra,C2018
970,Lintuhytti,"5h, k, kph/saun...",rt,111.0,335000,3018,2020,2/2,ei,hyvä,vuokra,B2018
971,Takahuhti,4h+k+p,kt,83.0,173000,2084,1971,1/3,on,hyvä,oma,F2013
972,Atala,"4h, k, s, kph, ...",rt,90.0,245000,2722,1990,1/1,ei,hyvä,oma,C2018
973,Pappila,"4h, k, khh, kph...",rt,93.5,235000,2513,1985,1/1,ei,hyvä,oma,C2007
974,Koivistonkylä,"5h, k, rt, aula...",ok,174.0,655000,3764,2014,,ei,hyvä,oma,B2018
975,Pyynikki,3H+KT+1MT+PARVEKE,kt,149.5,750000,5017,2022,2/4,on,hyvä,oma,C2018
976,Amuri,"4-5h, k, kph, s...",kt,117.0,345000,2949,1989,5/6,on,tyyd.,oma,C2018
977,Leinola,4h+k+kph/s+khh+...,ok,109.0,320000,2936,2005,1/2,ei,,vuokra,
978,Härmälä,5h+k+kph/s+2 wc...,rt,125.0,405000,3240,2020,1/2,ei,,vuokra,B2018
979,Lentävänniemi,4h+k,kt,87.0,158000,1816,1973,2/3,ei,hyvä,oma,D2018
980,Vuores,4h+k+s,rt,103.0,469000,4553,2016,1/1,ei,hyvä,vuokra,C2013
981,Finninmäki,"4h, k, p, sauna...",rt,100.0,156000,1560,1978,-1/2,ei,hyvä,oma,D
982,Peltolammi,"4h, k, kph/wc, ...",rt,129.0,155000,1202,1968,1/2,ei,,vuokra,
983,Tesoma,4h+k+p,kt,93.0,137000,1473,1968,1/3,ei,hyvä,vuokra,G2013
984,Vuores,4h + k + kph/s ...,rt,96.0,315000,3281,2019,1/2,ei,,vuokra,B2018
985,Kaukajärvi,"4h, k, s, kph, ...",kt,91.0,239000,2626,2005,1/5,on,hyvä,oma,D2013
986,Rantaperkiö,"4h, k, aula, er...",rt,100.0,315000,3150,2006,1/2,ei,hyvä,vuokra,C2018
987,Muotiala,"4h, k, s, lasit...",rt,89.0,311000,3494,2013,-1/2,ei,hyvä,vuokra,C2013
988,Hervanta,"4h, k, kph/wc, ...",kt,90.0,165000,1833,1976,5/8,on,hyvä,oma,E2018
989,Hatanpää,"4h, k, er. wc, ...",kt,91.0,295000,3242,1997,2/4,on,hyvä,vuokra,F2013
990,Takahuhti,"5(-6)h,k,2kph,w...",rt,149.0,225000,1510,1965,1/2,ei,,oma,E2013
991,Lentävänniemi,4h+k,kt,89.5,111000,1240,1974,3/7,on,tyyd.,oma,D2018
992,Koivistonkylä,"4h, k, s, kph, ...",rt,94.0,215000,2287,1970,1/1,ei,hyvä,oma,D2007
993,Tasanne,"4mh, k, oh, khh...",ok,144.0,229000,1590,1987,-1/2,ei,tyyd.,vuokra,
994,Atala,"4h, k, kph/s/kh...",rt,90.0,253000,2811,1992,1/1,ei,hyvä,oma,
995,Järvensivu,"5h, k, kph, khh...",rt,165.0,570000,3455,2024,,ei,hyvä,vuokra,A2018
996,Pyynikki,"4h, k, kph, s, ...",kt,94.5,320000,3386,1985,3/4,on,tyyd.,oma,F2013
997,Tammela,"4h, k, kph, eri...",kt,85.0,280000,3294,1972,2/6,on,hyvä,oma,C2018
998,Linnainmaa,"4h, k, sauna, p...",rt,98.0,173000,1765,1981,2/2,ei,tyyd.,oma,D2013
999,Hallila,"5h, k, kphx3, k...",ok,138.0,278000,2014,1994,,ei,tyyd.,vuokra,D2018
1000,Petsamo,"4h, k, kph/saun...",rt,135.0,336000,2489,1938,-1/2,ei,hyvä,vuokra,
1001,Annala,"4h, k, kph / s,...",rt,81.0,242000,2988,2016,1/2,ei,hyvä,vuokra,C2013
1002,Holvasti,"4h, k, s, ph, k...",rt,93.0,179000,1925,1995,2/2,ei,tyyd.,oma,D2018
1003,Tasanne,4h+oh+k+th+kh+k...,ok,117.0,282000,2410,1980,-1/2,ei,hyvä,oma,C2018
1004,Hakametsä,"5h, avok, kph, ...",rt,96.0,432000,4500,2019,-1/2,ei,hyvä,vuokra,C2013
1005,Tesoma,4h+k+p,kt,86.0,106000,1233,1969,1/5,on,tyyd.,vuokra,D2018
1006,Atala,"4h, k, kph / s,...",rt,93.0,227000,2441,1987,1/2,ei,hyvä,oma,C2018
1007,Lentävänniemi,"4h, k, parveke...",kt,88.0,131000,1489,1974,1/3,ei,tyyd.,oma,E2013
1008,Palokallio / peltolammi,4h+k+s,rt,98.0,238000,2429,1990,1/2,ei,hyvä,vuokra,D2018
1009,Pyynikki,"4h, k, kph/s, w...",kt,100.0,596000,5960,2000,1/2,on,hyvä,oma,
1010,Annala,"5h, k, khh, 2 w...",rt,115.0,250000,2174,1995,,ei,tyyd.,vuokra,D2018
1011,Pyynikki,"5h, k, kph, eri...",kt,116.5,400000,3433,1969,2/6,on,hyvä,oma,D2018
1012,Leinola,5h+k+2kph+s+pkh...,ok,148.0,325000,2196,1965,,ei,,oma,F2018
1013,Rahola,"5h,k,2xwc,s,kph...",ok,155.0,286000,1845,1930,,ei,,oma,C2018
1014,Tasanne,"5 h, k, rt/tkh,...",ok,179.5,275000,1532,1980,,ei,hyvä,oma,C2018
1015,Pappila,3h+k+takkah+s+v...,rt,141.5,272000,1922,1975,2/2,ei,hyvä,oma,E2013
1016,Huikas,"4h,k,wc,khh,2xk...",rt,116.0,380000,3276,1999,1/2,ei,hyvä,oma,E2013
1017,Amuri,4h+k+kph+s+p,kt,85.5,260000,3041,1957,6/6,on,hyvä,vuokra,
1018,Keskusta,Liikehuoneisto,kt,125.0,190000,1520,1957,1/7,on,tyyd.,oma,E2013
1019,Rahola,"6h,k,takkah,khh...",ok,176.0,246000,1398,1949,-1/3,ei,hyvä,oma,D2018
1020,Hämeenpuisto,"5h, k, s",kt,112.5,342000,3040,1981,1/3,on,hyvä,oma,D2018
1021,Kaarila,"4mh, oh, k, kph...",rt,125.0,365000,2920,2004,1/2,ei,hyvä,oma,D2013
1022,Korkinmäki,"5h, k, psh, s, ...",ok,120.0,199000,1658,1976,-1/2,ei,tyyd.,oma,
1023,Leinola,"5h, k, kph, s, ...",ok,139.0,590000,4245,2019,-1/1,ei,hyvä,oma,B2018
1024,Korkinmäki,"4-6h, k, s, ph,...",ok,97.0,220000,2268,1963,-1/2,ei,tyyd.,oma,E2018
1025,Holvasti,"4mh, oh, k, kyl...",ok,169.0,354000,2095,1994,1/1,ei,hyvä,vuokra,B2018
1026,Annala,4h+k+s,rt,92.5,211500,2286,1994,2/2,ei,hyvä,vuokra,D2013
1027,Koivistonkylä,4h+k+et+kuisti+...,ok,72.0,252000,3500,1928,1/3,ei,hyvä,oma,
1028,Holvasti,oh+3mh+k+kph+s+...,rt,91.0,250000,2747,1995,1/1,ei,hyvä,vuokra,
1029,Hervanta,"4h, k, kph, s, ...",kt,92.0,151000,1641,1990,3/5,on,hyvä,oma,E2013
1030,Tammela,4h+k+kph+wc+vh+p,kt,93.0,260000,2796,1970,7/7,on,hyvä,oma,C2018
1031,Korkinmäki,"5h, k, s, pesu...",ok,119.0,205000,1723,1969,-1/1,ei,tyyd.,oma,E2018
1032,Linnainmaa,4h+k+s,rt,109.0,255000,2339,1982,1/1,ei,hyvä,oma,D2018
1033,Niemi,5h+k+2x wc+vera...,ok,117.5,330000,2809,1957,2/2,ei,hyvä,oma,C2018
1034,Kumpula,5h + k + khh + ...,ok,119.0,470000,3950,2021,,ei,hyvä,oma,B2018
1035,Levonmäki,"4h, k, wc, wc/k...",rt,92.0,235000,2554,2004,-1/2,ei,hyvä,vuokra,D2013
1036,Tammela,"4h, k, lasitt.p...",kt,93.5,232000,2481,1972,5/7,on,tyyd.,oma,D2018
1037,Reuharinniemi,"5h, k, th, kph,...",rt,132.0,300000,2273,1978,1/2,ei,hyvä,oma,D2013
1038,Lukonmäki,4h + k + kph/sa...,rt,91.0,215000,2363,1978,1/2,ei,hyvä,oma,
1039,Tasanne,5h+k+s,rt,93.0,310000,3333,2004,1/2,ei,,vuokra,D2018
1040,Lintuhytti,"4h, k, kph / s,...",rt,95.0,311000,3274,2019,1/2,ei,hyvä,vuokra,B2018
1041,Rahola,"5h,k,s,kph,aula...",ok,175.0,410000,2343,2003,,ei,hyvä,vuokra,B2018
1042,Finninmäki,4h+k+kph/s+wc+2...,rt,100.0,222700,2227,1979,1/2,ei,,oma,
1043,Kaarila,"5h, k, wc x 2, ...",rt,125.0,320000,2560,2004,2/2,ei,hyvä,oma,D2013
